reward_variant,algo,learning_rate,batch_size,target_update_interval,hidden_units,td_error,action_match,value,loss,pdis,mood_improvement,direct_method_v0
reward_dense,double_dqn,0.0001,64,1000,256x256,0.13345967702893718,0.21710526315789475,0.5472390704396132,0.004673725706606638,0.025280325474583788,0.4666666746139526,0.5041665485636755
reward_dense,double_dqn,0.0001,64,8000,64x64,0.10228286584996045,0.15789473684210525,0.14846502858716504,0.005141532821545843,0.014828813978504158,1.1666666865348816,0.10114837251603603
reward_dense,double_dqn,0.0001,64,8000,256x256,0.12116083885210478,0.10197368421052631,0.11300327622302575,0.0029409867526963354,0.022897764181775408,1.1666666865348816,0.038591039324687285
reward_dense,double_dqn,6.25e-05,32,1000,64x64,0.1292343101061885,0.19078947368421054,0.7063243079342341,0.013615704743750394,0.023633615637625525,-0.7222222089767456,0.6825705902142958
reward_dense,double_dqn,6.25e-05,32,1000,256x256,0.11460363572710514,0.20394736842105263,0.4908484586171414,0.006141942910559009,0.028438462924041456,0.5833333432674408,0.45548956671899016
reward_dense,double_dqn,6.25e-05,32,8000,64x64,0.09470610969481677,0.12828947368421054,0.16931483406867637,0.0071217100045760165,0.017927899607754268,-0.16666666666666666,0.12734413629567082
reward_dense,double_dqn,6.25e-05,32,8000,256x256,0.12246263820895802,0.09539473684210527,0.10605266440420803,0.004359960423735902,0.01943954894077336,1.2000000119209289,0.025067479857666927
reward_dense,double_dqn,6.25e-05,64,1000,64x64,0.11872068771907887,0.19078947368421054,0.6415335726679156,0.011726557969907299,0.023917437303939405,0.3333333730697632,0.6185610903934999
reward_dense,double_dqn,6.25e-05,64,1000,256x256,0.12115687044486566,0.21710526315789475,0.5186792517963209,0.005418146781262476,0.02360955077353957,0.4666666746139526,0.4818988625298847
reward_dense,double_dqn,6.25e-05,64,8000,64x64,0.09397209209383335,0.17763157894736842,0.1515623235731925,0.006387672543770168,0.0175242558348303,0.5666666746139526,0.10711261045865038
reward_dense,double_dqn,6.25e-05,64,8000,256x256,0.11749684365010585,0.10526315789473684,0.095064211746304,0.003585362204629928,0.019708334947170898,1.2000000119209289,0.029322953259741717
reward_observed_only,dqn,0.0001,32,1000,64x64,0.22264268959019387,0.16776315789473684,0.441437590818264,0.009083117755182321,0.01152795975760174,0.5000000099341074,0.44500136612491176
reward_observed_only,dqn,0.0001,32,1000,256x256,0.41200108014704173,0.13486842105263158,0.7288682834294281,0.006025334071432007,0.01153078018173002,0.4666666746139526,0.6925357573411681
reward_observed_only,dqn,0.0001,32,8000,64x64,0.22428707635927125,0.12828947368421054,0.244587094290182,0.007567071182356449,-1.2611080142916272e-05,1.0000000198682149,0.24097551981156523
reward_observed_only,dqn,0.0001,32,8000,256x256,0.26451844611265257,0.13157894736842105,0.23117411011633904,0.002466220921936474,0.011527988545542038,1.0000000149011612,0.20046741151335565
reward_observed_only,dqn,0.0001,64,1000,64x64,0.2431747214247222,0.15789473684210525,0.49878538841087566,0.008354869941249489,0.01152849924077234,0.7142857228006635,0.5049548680809411
reward_observed_only,dqn,0.0001,64,1000,256x256,0.4785305425843914,0.16776315789473684,0.8240920788559475,0.004767970215709647,0.011530784144229575,0.3888888955116272,0.7724253752014854
reward_observed_only,dqn,0.0001,64,8000,64x64,0.23646570673882444,0.1118421052631579,0.25665117697300094,0.006461094674526248,-1.2611080142916272e-05,1.0000000198682149,0.24720866029912775
reward_observed_only,dqn,0.0001,64,8000,256x256,0.26653331528347285,0.15789473684210525,0.23305108098889163,0.0017882563988696348,0.011527988547099455,1.0000000149011612,0.20636803428219122
reward_observed_only,dqn,6.25e-05,32,1000,64x64,0.20986310387068227,0.14144736842105263,0.3924640754335805,0.01001895395910833,5.006526219097381e-05,1.1111111243565877,0.40205918523398315
reward_observed_only,dqn,6.25e-05,32,1000,256x256,0.30426572435479365,0.17105263157894737,0.5716120022300043,0.006347991862060735,0.011528499199699527,0.4666666746139526,0.5494887412271716
reward_observed_only,dqn,6.25e-05,32,8000,64x64,0.2106274860328809,0.13157894736842105,0.22142847448489383,0.008824064115283544,-1.0330091427837946e-05,1.6666666865348816,0.2273160298778252
reward_observed_only,dqn,6.25e-05,32,8000,256x256,0.25797573201557683,0.16776315789473684,0.23265157825632118,0.003615899573270872,0.011528528028835222,1.2000000119209289,0.2106604780578478
reward_observed_only,dqn,6.25e-05,64,1000,64x64,0.21496464196699527,0.14802631578947367,0.41519217065682534,0.00929119098521769,4.778428191550203e-05,0.7500000149011612,0.4209112762050195
reward_observed_only,dqn,6.25e-05,64,1000,256x256,0.35434258130675067,0.16776315789473684,0.6488709591917301,0.0053256273114006035,0.011530784144229575,0.3888888955116272,0.6177330328659578
reward_observed_only,dqn,6.25e-05,64,8000,64x64,0.21589670859394405,0.13815789473684212,0.23111436585895717,0.007989867996709654,-1.2611080142916272e-05,1.0000000198682149,0.23087690923024307
reward_observed_only,dqn,6.25e-05,64,8000,256x256,0.2613621680528276,0.16447368421052633,0.2362007248907742,0.0026913860628701514,0.011527988545542038,1.0000000149011612,0.20874752129682086
reward_observed_only,double_dqn,0.0001,32,1000,64x64,0.2160609210409692,0.16776315789473684,0.38705912820602717,0.008811274177260929,0.01152795975760174,0.5000000099341074,0.39195464517582546
reward_observed_only,double_dqn,0.0001,32,1000,256x256,0.3610075322798666,0.15460526315789475,0.560936807654798,0.006381338713690638,0.011530780179975001,0.4666666746139526,0.5336689220910723
reward_observed_only,double_dqn,0.0001,32,8000,64x64,0.2165819871991015,0.08552631578947369,0.17381350415464686,0.009407981615327299,-1.2611043887438354e-05,1.0000000198682149,0.17065145972777496
reward_observed_only,double_dqn,0.0001,32,8000,256x256,0.2846446718864976,0.12171052631578948,0.14657487676939987,0.00482178693319438,4.7784200631011135e-05,1.0000000198682149,0.11011939254504713
reward_observed_only,double_dqn,0.0001,64,1000,64x64,0.23778888617457594,0.1513157894736842,0.42354882812421574,0.00807479823444737,0.011527959757479157,0.5000000099341074,0.43108218400315806
reward_observed_only,double_dqn,0.0001,64,1000,256x256,0.4295569257951093,0.14802631578947367,0.6315590536319896,0.005142491029319353,0.011530784142474554,0.3888888955116272,0.5922094078903849
reward_observed_only,double_dqn,0.0001,64,8000,64x64,0.2295303905800654,0.09868421052631579,0.18306368635967374,0.00841142627352383,-1.2071560716839313e-05,1.0000000198682149,0.1783188826150515
reward_observed_only,double_dqn,0.0001,64,8000,256x256,0.2790142898906196,0.14473684210526316,0.15999661431583503,0.00356810152012622,-0.00025732790816181453,1.0000000198682149,0.1304287831219633
reward_observed_only,double_dqn,6.25e-05,32,1000,64x64,0.20702129131576016,0.14144736842105263,0.3548443813955313,0.0097791043833422,5.0065263945994634e-05,1.1111111243565877,0.3641783286902038
reward_observed_only,double_dqn,6.25e-05,32,1000,256x256,0.2896875569952553,0.17763157894736842,0.4626427928083821,0.00672774616323295,0.011528499199699527,0.4666666746139526,0.4405068460513245
reward_observed_only,double_dqn,6.25e-05,32,8000,64x64,0.20444905170432515,0.09868421052631579,0.1600276503013447,0.010435500966093969,-1.2611071703309728e-05,1.0000000198682149,0.16598869860172272
reward_observed_only,double_dqn,6.25e-05,32,8000,256x256,0.27094789077105813,0.12171052631578948,0.1519526205024225,0.006082898912846577,0.0034355215644382487,1.2000000119209289,0.12044624311172149
reward_observed_only,double_dqn,6.25e-05,64,1000,64x64,0.20875786636387628,0.1513157894736842,0.3691047404549624,0.009028999278671108,4.775541113329765e-05,0.40000001192092893,0.3731996925039725
reward_observed_only,double_dqn,6.25e-05,64,1000,256x256,0.33272298797395355,0.1513157894736842,0.5336652600059384,0.005753902149957139,0.011528503162199081,0.3888888955116272,0.5071439864960584
reward_observed_only,double_dqn,6.25e-05,64,8000,64x64,0.20987024621262187,0.10526315789473684,0.1706457447848822,0.009696098327822983,-1.2611044010023136e-05,1.0000000198682149,0.17321703202006491
reward_observed_only,double_dqn,6.25e-05,64,8000,256x256,0.285019872896066,0.14473684210526316,0.17060931806420404,0.004817185933340806,-0.00025732790816181453,1.2500000149011612,0.1340827093121003
