reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,student_id,num_rows,num_students,action_match,dominant_policy_action,dominant_policy_action_rate,policy_collapsed,increase_sleep_rate,increase_activity_rate,increase_social_rate,policy_action_rate_none,policy_action_rate_increase_activity,policy_action_rate_decrease_activity,policy_action_rate_increase_sleep,policy_action_rate_decrease_sleep,policy_action_rate_increase_social,policy_action_rate_decrease_social,logged_action_rate_none,logged_action_rate_increase_activity,logged_action_rate_decrease_activity,logged_action_rate_increase_sleep,logged_action_rate_decrease_sleep,logged_action_rate_increase_social,logged_action_rate_decrease_social,reliable_support,num_episodes,td_error,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u39,24,1,0.041666666666666664,increase_sleep,0.4583333333333333,False,0.4583333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.041666666666666664,0.4583333333333333,0.0,0.16666666666666666,0.08333333333333333,0.6666666666666666,0.0,0.041666666666666664,0.0,0.0,0.125,0.16666666666666666,True,3,0.02091507887719975,0.3464620020240545,-0.03642090778464566,5.3916431680612e-11,0.008691290863332778,-0.0027237399264520975,0.8500838684714429,1.0208893783508328,6.203501013650016e-09,1.8418110609757484e-08,3,,0.4116760492324829
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u41,44,1,0.2727272727272727,increase_sleep,0.6136363636363636,False,0.6136363636363636,0.0,0.045454545454545456,0.25,0.0,0.0,0.6136363636363636,0.022727272727272728,0.045454545454545456,0.06818181818181818,0.5227272727272727,0.045454545454545456,0.09090909090909091,0.09090909090909091,0.06818181818181818,0.09090909090909091,0.09090909090909091,True,2,0.019382377553923066,0.40890641730617394,0.0021758937921518774,1.17940035622315e-13,0.2661101292688866,0.006255604324309221,0.43450923417600307,1.0,4.4320009894529204e-13,8.864001978905841e-13,2,,0.3982288986444473
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u42,48,1,0.22916666666666666,increase_sleep,0.4583333333333333,False,0.4583333333333333,0.020833333333333332,0.125,0.25,0.020833333333333332,0.0625,0.4583333333333333,0.0,0.125,0.08333333333333333,0.3125,0.16666666666666666,0.1875,0.041666666666666664,0.041666666666666664,0.125,0.125,True,2,0.012853611878957357,0.3809160198822307,0.030813620617940313,0.10146246093745087,0.21646178744360806,0.0035479435711519066,1.4223950053895509,1.0,0.468731512086786,0.937463024173572,2,,0.8485742509365082
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u43,49,1,0.14285714285714285,none,0.3469387755102041,False,0.3469387755102041,0.02040816326530612,0.1836734693877551,0.3469387755102041,0.02040816326530612,0.0,0.3469387755102041,0.061224489795918366,0.1836734693877551,0.04081632653061224,0.24489795918367346,0.20408163265306123,0.16326530612244897,0.061224489795918366,0.061224489795918366,0.12244897959183673,0.14285714285714285,True,2,0.019199227867342676,0.44623956966156864,-0.00847284020859896,-9.26285749574345e-06,-0.06226792733967303,0.011342528384544043,2.3794238993647987,1.0,0.00014875808287650785,0.0002975161657530157,2,,0.8856955766677856
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u44,49,1,0.2857142857142857,increase_sleep,0.4489795918367347,False,0.4489795918367347,0.02040816326530612,0.061224489795918366,0.3469387755102041,0.02040816326530612,0.0,0.4489795918367347,0.04081632653061224,0.061224489795918366,0.08163265306122448,0.30612244897959184,0.12244897959183673,0.1836734693877551,0.10204081632653061,0.10204081632653061,0.08163265306122448,0.10204081632653061,True,2,0.02393659810833033,0.44927351115917674,0.049782439918394615,-1.9990386662734146e-05,-0.07307898395508527,0.01821153475794492,2.105805958807047,1.0,0.00027354494522009693,0.0005470898904401939,2,,1.063319593667984
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u45,40,1,0.125,increase_sleep,0.325,False,0.325,0.1,0.15,0.225,0.1,0.025,0.325,0.1,0.15,0.075,0.45,0.175,0.175,0.0,0.025,0.075,0.1,True,4,0.012891656105333826,0.3773522997274995,0.05629934804768577,0.003901653168271925,0.3795974342730919,0.031169757347553312,1.262089834393354,1.210427628317667,0.01027839710177013,0.03715961750166837,4,,0.6258274093270302
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u46,50,1,0.24,increase_sleep,0.36,False,0.36,0.1,0.08,0.32,0.1,0.02,0.36,0.02,0.08,0.1,0.32,0.18,0.2,0.1,0.06,0.04,0.1,True,2,0.01090036775563931,0.3463684773445129,-0.025391067168448623,-1.9079974801569615e-06,-0.058281909725815054,-0.011119053452882364,2.053715720435689,1.0,3.273738779551083e-05,6.547477559102165e-05,2,,0.9010375440120697
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u47,36,1,0.19444444444444445,increase_sleep,0.3611111111111111,False,0.3611111111111111,0.0,0.19444444444444445,0.25,0.0,0.027777777777777776,0.3611111111111111,0.05555555555555555,0.19444444444444445,0.1111111111111111,0.3611111111111111,0.1388888888888889,0.1111111111111111,0.027777777777777776,0.027777777777777776,0.1388888888888889,0.19444444444444445,True,4,0.01808105143012047,0.43150337350865203,0.00029994372292026,-6.266770751917508e-09,-7.188154047205644e-08,0.0062121730160730184,0.6903442749866706,1.0000030677651837,0.08718192057046524,0.34872714737536087,4,,0.47009289637207985
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u49,54,1,0.2777777777777778,increase_sleep,0.2962962962962963,False,0.2962962962962963,0.1111111111111111,0.14814814814814814,0.2222222222222222,0.1111111111111111,0.037037037037037035,0.2962962962962963,0.09259259259259259,0.14814814814814814,0.09259259259259259,0.42592592592592593,0.1111111111111111,0.07407407407407407,0.18518518518518517,0.12962962962962962,0.037037037037037035,0.037037037037037035,True,1,0.017005523902096482,0.44480117396624,2.560707154108729e-07,9.539685676537413e-80,0.36784286119796794,0.00681190483699941,0.3211590812097111,1.0,2.5934132975883107e-79,2.5934132975883107e-79,1,1.0,0.31858715415000916
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u50,38,1,0.34210526315789475,none,0.47368421052631576,False,0.23684210526315788,0.07894736842105263,0.18421052631578946,0.47368421052631576,0.07894736842105263,0.0,0.23684210526315788,0.0,0.18421052631578946,0.02631578947368421,0.5526315789473685,0.13157894736842105,0.10526315789473684,0.0,0.02631578947368421,0.10526315789473684,0.07894736842105263,True,3,0.01888721428560446,0.33057824081104054,0.04533101694060435,3.0899583779756714e-07,1.8539736743488107e-07,0.013243132343939468,0.5499315831339575,1.0000014589598663,1.6666678824665553,5.0,3,,0.43685729304949444
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u51,54,1,0.1111111111111111,none,0.3148148148148148,False,0.2777777777777778,0.07407407407407407,0.18518518518518517,0.3148148148148148,0.07407407407407407,0.0,0.2777777777777778,0.07407407407407407,0.18518518518518517,0.07407407407407407,0.2962962962962963,0.2222222222222222,0.14814814814814814,0.1111111111111111,0.12962962962962962,0.037037037037037035,0.05555555555555555,True,1,0.012199604492515052,0.4115881163764883,2.641429364738379e-05,-1.9242071236993527e-96,-0.1269848512582804,-0.002351571319597792,1.4063538830446267,1.0,1.5153044671333418e-95,1.5153044671333418e-95,1,,1.062833309173584
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u52,54,1,0.16666666666666666,increase_sleep,0.5740740740740741,False,0.5740740740740741,0.018518518518518517,0.07407407407407407,0.16666666666666666,0.018518518518518517,0.0,0.5740740740740741,0.07407407407407407,0.07407407407407407,0.09259259259259259,0.5370370370370371,0.05555555555555555,0.018518518518518517,0.07407407407407407,0.037037037037037035,0.14814814814814814,0.12962962962962962,True,1,0.018926878760053282,0.43616078904381506,6.664968338891682e-05,1.311850667843458e-91,0.44885879853574595,0.008312199972884168,0.5999851845989534,1.0,2.922635519506221e-91,2.922635519506221e-91,1,,0.5782054662704468
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u53,54,1,0.25925925925925924,none,0.2777777777777778,False,0.2777777777777778,0.018518518518518517,0.14814814814814814,0.2777777777777778,0.018518518518518517,0.037037037037037035,0.2777777777777778,0.09259259259259259,0.14814814814814814,0.14814814814814814,0.18518518518518517,0.16666666666666666,0.16666666666666666,0.14814814814814814,0.07407407407407407,0.1111111111111111,0.14814814814814814,True,1,0.01192832905010206,0.3889552428283625,2.7603092725323486e-05,4.545998390793984e-81,0.35288024752291275,0.0065348193985724605,0.8216184971596602,1.0,1.28825527149938e-80,1.28825527149938e-80,1,,0.4208550751209259
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u54,46,1,0.2391304347826087,increase_sleep,0.32608695652173914,False,0.32608695652173914,0.08695652173913043,0.10869565217391304,0.2826086956521739,0.08695652173913043,0.06521739130434782,0.32608695652173914,0.043478260869565216,0.10869565217391304,0.08695652173913043,0.391304347826087,0.15217391304347827,0.15217391304347827,0.06521739130434782,0.06521739130434782,0.08695652173913043,0.08695652173913043,True,1,0.01085284960283942,0.3788662310689688,3.813850711075665e-05,-1.5405327245091453e-70,-0.13907180606399003,-0.0030233001318258645,0.410709291743011,1.0,1.1077246841824373e-69,1.1077246841824373e-69,1,,0.4108531177043915
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u56,49,1,0.24489795918367346,none,0.32653061224489793,False,0.22448979591836735,0.16326530612244897,0.12244897959183673,0.32653061224489793,0.16326530612244897,0.02040816326530612,0.22448979591836735,0.02040816326530612,0.12244897959183673,0.12244897959183673,0.40816326530612246,0.16326530612244897,0.16326530612244897,0.02040816326530612,0.04081632653061224,0.10204081632653061,0.10204081632653061,True,2,0.01420859675557861,0.37568916811854863,0.0722569379378183,1.8336217204576163e-09,0.38513856641605043,0.009990500198246363,1.2975008521546256,1.0,4.760940296165576e-09,9.521880592331151e-09,2,,0.5798506885766983
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u57,53,1,0.33962264150943394,increase_sleep,0.39622641509433965,False,0.39622641509433965,0.1320754716981132,0.05660377358490566,0.3584905660377358,0.1320754716981132,0.018867924528301886,0.39622641509433965,0.0,0.05660377358490566,0.03773584905660377,0.16981132075471697,0.1320754716981132,0.09433962264150944,0.22641509433962265,0.16981132075471697,0.09433962264150944,0.11320754716981132,True,1,0.016096391648578953,0.4873847019559932,-0.003610130457185026,5.1969860444641965e-65,0.12455982454190365,0.002350185368715162,1.2823896634056915,1.0,4.172281121603426e-64,4.172281121603426e-64,1,1.0,0.3934529423713684
reward_dense,double_dqn,train,0.0001,32,1000,256x256,u58,52,1,0.2692307692307692,none,0.3076923076923077,False,0.2692307692307692,0.11538461538461539,0.07692307692307693,0.3076923076923077,0.11538461538461539,0.0,0.2692307692307692,0.11538461538461539,0.07692307692307693,0.11538461538461539,0.19230769230769232,0.21153846153846154,0.17307692307692307,0.11538461538461539,0.1346153846153846,0.11538461538461539,0.057692307692307696,True,1,0.04103267312481106,0.5542869308533577,4.44146174698932e-07,6.060691680962855e-76,1.1258617268526143,0.021651187054857978,0.7317656299728499,1.0,5.383158105841052e-76,5.383158105841052e-76,1,2.0,0.7344145774841309
