reward_variant,algo,split,learning_rate,batch_size,target_update_interval,hidden_units,subgroup,num_rows,num_students,action_match,dominant_policy_action,dominant_policy_action_rate,policy_collapsed,increase_sleep_rate,increase_activity_rate,increase_social_rate,policy_action_rate_none,policy_action_rate_increase_activity,policy_action_rate_decrease_activity,policy_action_rate_increase_sleep,policy_action_rate_decrease_sleep,policy_action_rate_increase_social,policy_action_rate_decrease_social,logged_action_rate_none,logged_action_rate_increase_activity,logged_action_rate_decrease_activity,logged_action_rate_increase_sleep,logged_action_rate_decrease_sleep,logged_action_rate_increase_social,logged_action_rate_decrease_social,reliable_support,num_episodes,td_error,value,pdis,trajectory_is,trajectory_wis,weighted_pdis,dr,effective_sample_size,weight_mean,weight_max,nonzero_weight_episodes,mood_improvement,direct_method_v0
reward_dense,double_dqn,train,0.0001,32,1000,256x256,weekday,1755,49,0.2336182336182336,increase_sleep,0.3806267806267806,False,0.3806267806267806,0.08262108262108261,0.1150997150997151,0.26096866096866095,0.08262108262108261,0.018803418803418803,0.3806267806267806,0.05128205128205128,0.1150997150997151,0.0905982905982906,0.34985754985754985,0.12421652421652421,0.11965811965811966,0.11339031339031339,0.09287749287749288,0.1076923076923077,0.09230769230769231,True,74,0.027041608939615012,0.40503931207598276,0.010889059334166973,0.03594691900098273,0.45199541447825375,0.060120141702902065,0.7963958316840707,1.3471619612144299,0.07952938868301769,5.0,74,0.7,0.5720573981871476
reward_dense,double_dqn,train,0.0001,32,1000,256x256,weekend,681,49,0.24963289280469897,none,0.32158590308370044,False,0.3039647577092511,0.07342143906020558,0.13509544787077826,0.32158590308370044,0.07342143906020558,0.032305433186490456,0.3039647577092511,0.06020558002936858,0.13509544787077826,0.07342143906020558,0.302496328928047,0.17180616740088106,0.18649045521292218,0.0631424375917768,0.07782672540381791,0.09691629955947137,0.1013215859030837,True,72,0.05834775157463023,0.39824324226685187,0.01003862626827853,0.0345686850845128,0.08956967036853872,0.07656958466471733,0.1306762020618353,6.260798066246629,0.3859418589158393,5.0,72,0.7142857142857143,0.5044639783704447
reward_dense,double_dqn,train,0.0001,32,1000,256x256,early_term,850,49,0.24588235294117647,increase_sleep,0.34352941176470586,False,0.34352941176470586,0.09058823529411765,0.12,0.30117647058823527,0.09058823529411765,0.029411764705882353,0.34352941176470586,0.03764705882352941,0.12,0.07764705882352942,0.32588235294117646,0.12823529411764706,0.12941176470588237,0.12117647058823529,0.10705882352941176,0.10588235294117647,0.08235294117647059,True,58,0.019312668037088664,0.4016163032141733,0.01733675072811248,0.0034947441759192632,0.0322195260462532,0.06386851245839693,1.0558814508385288,1.522184797828018,0.10846665375841759,5.0,58,,0.5661654947646733
reward_dense,double_dqn,train,0.0001,32,1000,256x256,late_term,801,49,0.23096129837702872,increase_sleep,0.3545568039950062,False,0.3545568039950062,0.07240948813982521,0.1198501872659176,0.2596754057428215,0.07240948813982521,0.01373283395755306,0.3545568039950062,0.08114856429463171,0.1198501872659176,0.0986267166042447,0.3595505617977528,0.14481897627965043,0.1373283395755306,0.05867665418227216,0.05742821473158552,0.12734082397003746,0.11485642946317104,True,64,0.020480422793428394,0.42865142565960074,0.01616412551295181,0.041465620072267666,0.4530164928482913,0.08127239705277023,0.6040293893871337,1.3348078125027976,0.09153225263733147,5.0,64,0.7916666666666666,0.4381746015860699
reward_dense,double_dqn,val,0.0001,32,1000,256x256,mood_observed,62,23,0.1774193548387097,decrease_social,0.3064516129032258,False,0.16129032258064516,0.0967741935483871,0.06451612903225806,0.12903225806451613,0.0967741935483871,0.0,0.16129032258064516,0.24193548387096775,0.06451612903225806,0.3064516129032258,0.27419354838709675,0.12903225806451613,0.12903225806451613,0.12903225806451613,0.1774193548387097,0.0967741935483871,0.06451612903225806,True,23,0.44149264151213086,0.6788924128538177,0.03520181604917953,-0.011636843847966555,-0.06994952904256495,0.17273899562681044,0.5779925452837317,2.965365306405025,0.166360574649265,1.5933301198765342,23,0.4666666746139526,0.6742898663100989
reward_dense,double_dqn,val,0.0001,32,1000,256x256,mood_missing,242,43,0.1859504132231405,increase_sleep,0.38016528925619836,False,0.38016528925619836,0.06611570247933884,0.128099173553719,0.28512396694214875,0.06611570247933884,0.01652892561983471,0.38016528925619836,0.08264462809917356,0.128099173553719,0.04132231404958678,0.32644628099173556,0.16115702479338842,0.128099173553719,0.03305785123966942,0.024793388429752067,0.15702479338842976,0.16942148760330578,True,44,0.05567903994794735,0.4609125335662326,0.036237436333873364,0.0029708233916320615,0.02481245234703397,0.09008498725254463,0.5546595614605911,1.1094280096213969,0.11973114749325403,5.0,44,,0.4446594818410548
reward_dense,double_dqn,val,0.0001,32,1000,256x256,low_mood,49,23,0.20408163265306123,decrease_sleep,0.2857142857142857,False,0.16326530612244897,0.12244897959183673,0.061224489795918366,0.14285714285714285,0.12244897959183673,0.0,0.16326530612244897,0.2857142857142857,0.061224489795918366,0.22448979591836735,0.30612244897959184,0.14285714285714285,0.14285714285714285,0.08163265306122448,0.1836734693877551,0.061224489795918366,0.08163265306122448,True,23,0.3520155686417972,0.6318747928860237,0.0035264184119054615,-0.0133263522114485,-0.07945475958719186,-0.0011357347578223303,0.49858989820602573,3.013885428981222,0.16772251631854052,1.5933301198765342,23,0.4666666746139526,0.6491912185497906
reward_dense,double_dqn,val,0.0001,32,1000,256x256,high_mood,13,7,0.07692307692307693,decrease_social,0.6153846153846154,False,0.15384615384615385,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.6153846153846154,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.0,False,7,1.432235867808161,0.856112709412208,0.15124946000325498,0.2733878334845933,0.8010212577983716,0.7441591934368325,0.8105085798639832,1.0179455088328808,0.34129909889783333,2.367890576494383,7,,0.8101427853107452
reward_dense,double_dqn,val,0.0001,32,1000,256x256,low_sleep,120,22,0.16666666666666666,increase_sleep,0.38333333333333336,False,0.38333333333333336,0.05,0.10833333333333334,0.24166666666666667,0.05,0.0,0.38333333333333336,0.10833333333333334,0.10833333333333334,0.10833333333333334,0.35,0.11666666666666667,0.09166666666666666,0.008333333333333333,0.1,0.15833333333333333,0.175,True,22,0.15909000080683502,0.6130131129796307,0.048403590572865585,0.023166481615745697,0.4499247473954666,0.1293472617409427,0.7808107190970898,1.3754295767154516,0.05148968077406786,0.9576464166312644,22,0.0,0.5967037213796919
reward_dense,double_dqn,val,0.0001,32,1000,256x256,normal_sleep,184,34,0.1956521739130435,increase_sleep,0.30434782608695654,False,0.30434782608695654,0.08695652173913043,0.11956521739130435,0.2608695652173913,0.08695652173913043,0.021739130434782608,0.30434782608695654,0.11956521739130435,0.11956521739130435,0.08695652173913043,0.29347826086956524,0.1793478260869565,0.15217391304347827,0.08152173913043478,0.02717391304347826,0.1358695652173913,0.13043478260869565,True,35,0.14472910188712387,0.4351662421275092,0.025752514820429017,1.7847241570236474e-05,0.00012406526328079617,0.10463969424276662,0.46991161940919407,1.013970554020858,0.14385365490937554,5.0,35,1.1666666865348816,0.47315728025777
